org:group,resource country,org:resource,oranization country,org:role,concept:name,impact,product,time:timestamp,lifecycle:transition,case:concept:name
Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2011-12-20 22:25:19+00:00,In Progress,1-351314317
Org line A2,POLAND,Ewa,us,A2_2,Completed,Medium,PROD98,2012-01-03 13:13:02+00:00,Closed,1-351314317
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2011-12-28 15:05:47+00:00,In Progress,1-354039443
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 12:29:51+00:00,Closed,1-354039443
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2010-02-16 11:03:41+00:00,Wait,1-354350908
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2011-09-02 00:16:31+00:00,In Progress,1-354350908
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2010-02-16 11:04:37+00:00,Wait,1-354376900
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2011-09-02 00:16:15+00:00,In Progress,1-354376900
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2011-12-28 16:01:17+00:00,In Progress,1-357087417
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 12:30:21+00:00,Closed,1-357087417
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2010-03-11 14:06:34+00:00,In Progress,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2010-03-11 14:10:10+00:00,In Progress,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Queued,High,PROD753,2010-03-11 14:12:19+00:00,Awaiting Assignment,1-359841262
Org line A2,POLAND,Pawel,cn,A2_2,Accepted,High,PROD753,2010-03-11 14:12:35+00:00,In Progress,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Queued,High,PROD753,2010-03-11 14:12:46+00:00,Awaiting Assignment,1-359841262
Org line A2,POLAND,Pawel,cn,A2_2,Accepted,High,PROD753,2010-03-11 14:13:02+00:00,In Progress,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2010-07-20 09:25:18+00:00,Assigned,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2011-09-05 09:28:42+00:00,In Progress,1-359841262
Org line A2,Sweden,Tomas,se,A2_2,Queued,Medium,PROD681,2010-08-25 11:04:56+00:00,Awaiting Assignment,1-360072755
Org line A2,Sweden,Tomas,se,A2_2,Accepted,Medium,PROD681,2011-09-03 07:49:00+00:00,In Progress,1-360072755
Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2011-11-14 16:10:03+00:00,Assigned,1-360072755
Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2012-01-12 09:23:04+00:00,Wait,1-360072755
Org line A2,Sweden,Panigrahy,in,D_1,Accepted,Medium,PROD611,2010-03-15 14:40:16+00:00,In Progress,1-360464815
Org line A2,Sweden,Panigrahy,in,D_1,Accepted,Medium,PROD611,2010-04-15 16:32:45+00:00,Wait,1-360464815
Org line A2,Sweden,Panigrahy,in,D_1,Accepted,Medium,PROD611,2011-06-09 11:37:15+00:00,In Progress,1-360464815
Org line A2,Sweden,Panigrahy,in,D_1,Completed,Medium,PROD611,2012-02-21 14:57:48+00:00,Closed,1-360464815
Org line A2,POLAND,Pawel,cn,A2_2,Accepted,Low,PROD753,2010-03-26 14:03:21+00:00,In Progress,1-363206822
Org line A2,POLAND,Pawel,cn,A2_2,Accepted,Low,PROD753,2010-03-26 14:05:35+00:00,In Progress,1-363206822
Org line A2,Sweden,Tomas,cn,A2_2,Queued,Low,PROD753,2010-03-26 14:05:48+00:00,Awaiting Assignment,1-363206822
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2011-09-05 09:28:50+00:00,In Progress,1-363206822
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-19 10:09:44+00:00,In Progress,1-363549934
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-19 10:10:41+00:00,Closed,1-363549934
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-19 10:14:11+00:00,In Progress,1-364528467
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-19 10:14:18+00:00,Closed,1-364528467
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-09 11:25:49+00:00,In Progress,1-366584206
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-09 11:25:51+00:00,Closed,1-366584206
Org line G4,Sweden,Jerker,se,,Accepted,High,PROD368,2010-04-13 14:37:07+00:00,In Progress,1-366698569
Org line G4,Sweden,Jerker,se,,Accepted,High,PROD368,2010-04-19 16:59:00+00:00,In Progress,1-366698569
Org line G4,Sweden,Jerker,se,,Accepted,Medium,PROD368,2010-04-13 14:50:15+00:00,In Progress,1-366726662
Org line G4,Sweden,Jerker,se,,Accepted,Medium,PROD368,2010-04-19 16:59:58+00:00,In Progress,1-366726662
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-04 16:55:26+00:00,In Progress,1-366923538
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 14:05:58+00:00,Closed,1-366923538
Org line B,INDIA,Srinivasan,in,E_10,Queued,Medium,PROD262,2011-08-24 21:27:17+00:00,Awaiting Assignment,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Accepted,Medium,PROD262,2011-08-29 04:54:38+00:00,In Progress,1-367921041
Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD262,2011-08-29 04:55:29+00:00,Assigned,1-367921041
Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD262,2011-08-29 14:48:47+00:00,In Progress,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Accepted,Medium,PROD262,2011-11-11 15:57:44+00:00,Assigned,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Accepted,Medium,PROD262,2011-11-21 08:27:41+00:00,Wait,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Accepted,Medium,PROD262,2012-02-29 17:54:59+00:00,In Progress,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Completed,Medium,PROD262,2012-02-29 17:56:23+00:00,Closed,1-367921041
Org line C,France,Celine,fr,V3_3,Accepted,Major,PROD793,2010-04-29 09:23:20+00:00,In Progress,1-370436092
Org line C,France,Celine,fr,V3_3,Queued,Major,PROD793,2010-04-29 09:23:56+00:00,Awaiting Assignment,1-370436092
Org line C,France,Celine,fr,V3_3,Accepted,Major,PROD793,2010-05-04 14:28:29+00:00,In Progress,1-370436092
Org line C,France,Celine,fr,V3_3,Accepted,Major,PROD793,2010-11-09 18:47:12+00:00,In Progress,1-370436092
Org line C,Sweden,Tomas,se,C_6,Accepted,Low,PROD660,2010-10-19 14:43:59+00:00,Assigned,1-372029512
Org line C,Sweden,Tomas,se,C_6,Accepted,Low,PROD660,2011-10-20 14:21:34+00:00,Wait,1-372029512
Org line C,Sweden,Tomas,se,C_6,Completed,Low,PROD660,2012-01-30 13:18:55+00:00,Closed,1-372029512
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-30 13:58:10+00:00,In Progress,1-372978779
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 14:38:43+00:00,Closed,1-372978779
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-03 07:48:56+00:00,In Progress,1-373110819
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-03 07:50:31+00:00,Closed,1-373110819
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-03 07:51:00+00:00,In Progress,1-373268674
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-03 07:52:14+00:00,Closed,1-373268674
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-30 12:59:22+00:00,In Progress,1-373413519
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 13:00:09+00:00,Closed,1-373413519
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-03 07:54:21+00:00,In Progress,1-373413971
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 08:48:35+00:00,Closed,1-373413971
Org line C,Sweden,Anna,in,E_7,Accepted,Low,PROD660,2011-11-01 17:30:00+00:00,Assigned,1-374832944
Org line C,Sweden,Anna,in,E_7,Accepted,Low,PROD660,2012-02-01 13:57:19+00:00,In Progress,1-374832944
Org line C,Sweden,Anna,in,E_7,Completed,Low,PROD660,2012-02-01 13:58:08+00:00,Closed,1-374832944
Org line C,0,Sumesh,se,E_10,Accepted,Medium,PROD698,2010-05-25 12:42:48+00:00,In Progress,1-375644051
Org line C,0,Sumesh,se,E_10,Accepted,Medium,PROD698,2010-05-25 12:49:29+00:00,Wait,1-375644051
Org line C,0,Sumesh,se,E_10,Accepted,Medium,PROD698,2011-06-29 16:13:19+00:00,In Progress,1-375644051
Org line C,Sweden,Prasad,se,E_10,Queued,Medium,PROD698,2011-11-23 12:47:29+00:00,Awaiting Assignment,1-375644051
Org line C,Sweden,Peter,se,E_7,Accepted,High,PROD153,2010-06-22 11:37:32+00:00,In Progress,1-378050311
Org line C,Sweden,Peter,se,E_7,Accepted,High,PROD153,2010-07-09 11:03:29+00:00,In Progress,1-378050311
Org line C,Sweden,Peter,se,E_7,Accepted,High,PROD153,2010-07-09 11:05:10+00:00,In Progress,1-378050311
Org line C,Sweden,Peter,se,E_7,Accepted,High,PROD153,2010-11-08 13:35:26+00:00,In Progress,1-378050311
Org line F,Sweden,Craig,se,,Queued,High,PROD153,2011-11-30 13:59:57+00:00,Awaiting Assignment,1-378050311
Org line F,Sweden,Stefan,se,,Accepted,High,PROD153,2012-02-27 08:12:23+00:00,In Progress,1-378050311
Org line F,Sweden,Stefan,se,,Completed,High,PROD153,2012-02-27 08:13:44+00:00,Closed,1-378050311
Org line C,Sweden,Anna,in,E_7,Accepted,Medium,PROD660,2011-11-01 17:29:39+00:00,Assigned,1-378744625
Org line C,Sweden,Anna,in,E_7,Accepted,Medium,PROD660,2012-02-01 13:59:45+00:00,In Progress,1-378744625
Org line C,Sweden,Anna,in,E_7,Completed,Medium,PROD660,2012-02-01 13:59:47+00:00,Closed,1-378744625
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 09:20:39+00:00,In Progress,1-380392616
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:19:57+00:00,Closed,1-380392616
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 10:20:08+00:00,In Progress,1-380527184
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:31:43+00:00,Closed,1-380527184
Org line G4,Sweden,David,se,,Accepted,High,PROD551,2010-06-16 16:09:45+00:00,In Progress,1-380632889
Org line G4,Sweden,David,se,,Queued,High,PROD551,2010-08-16 12:24:39+00:00,Awaiting Assignment,1-380632889
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2011-12-30 11:09:26+00:00,In Progress,1-380654568
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 12:31:24+00:00,Closed,1-380654568
Org line A2,Sweden,Tomas,se,A2_2,Accepted,Medium,PROD681,2010-06-23 14:13:51+00:00,In Progress,1-382209384
Org line A2,Sweden,Tomas,se,A2_2,Accepted,Medium,PROD681,2011-09-03 07:46:51+00:00,In Progress,1-382209384
Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2011-11-14 16:10:10+00:00,Assigned,1-382209384
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 10:27:58+00:00,In Progress,1-382442048
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:30:03+00:00,Closed,1-382442048
Org line C,Sweden,Jonas,se,C_6,Accepted,Medium,PROD660,2011-03-10 16:02:06+00:00,Assigned,1-384097130
Org line C,Sweden,Jonas,se,C_6,Accepted,Medium,PROD660,2011-03-29 10:44:20+00:00,In Progress,1-384097130
Org line C,Sweden,Jonas,se,C_6,Accepted,Medium,PROD660,2011-04-13 15:23:07+00:00,Wait,1-384097130
Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2012-02-04 10:31:58+00:00,In Progress,1-384757914
Org line A2,POLAND,Ewa,us,A2_2,Completed,Medium,PROD98,2012-02-04 10:37:38+00:00,Closed,1-384757914
Org line G4,Sweden,Joakim,se,,Accepted,High,PROD374,2010-07-08 04:50:41+00:00,In Progress,1-385201933
Org line G4,Sweden,Joakim,se,,Queued,High,PROD374,2010-07-08 05:04:25+00:00,Awaiting Assignment,1-385201933
Org line G4,Sweden,Per,se,,Accepted,High,PROD374,2010-09-07 13:57:19+00:00,Assigned,1-385201933
Org line G4,Sweden,Per,se,,Accepted,High,PROD374,2010-09-23 10:26:35+00:00,In Progress,1-385201933
Org line G4,Sweden,Per,se,,Accepted,High,PROD374,2010-12-05 13:27:07+00:00,Wait,1-385201933
Org line G4,Sweden,Per,se,,Completed,High,PROD374,2012-01-26 11:39:55+00:00,Closed,1-385201933
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 10:38:18+00:00,In Progress,1-385311756
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:40:10+00:00,Closed,1-385311756
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-30 15:48:15+00:00,In Progress,1-388644366
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 15:48:48+00:00,Closed,1-388644366
Org line C,USA,Stephen,se,C_6,Accepted,Low,PROD424,2010-08-09 17:21:55+00:00,In Progress,1-390250582
Org line C,USA,Stephen,se,C_6,Accepted,Low,PROD424,2010-08-12 15:09:54+00:00,Wait,1-390250582
Org line C,USA,Stephen,se,C_6,Accepted,Low,PROD424,2010-08-18 11:28:48+00:00,Assigned,1-390250582
Org line C,USA,Stephen,se,C_6,Accepted,Low,PROD424,2010-08-18 15:42:02+00:00,In Progress,1-390250582
Org line G4,Sweden,Christer,se,,Accepted,Low,PROD412,2010-08-11 10:39:44+00:00,In Progress,1-390722958
Org line G4,Sweden,Christer,se,,Accepted,Low,PROD412,2012-01-16 14:43:19+00:00,Assigned,1-390722958
Org line G4,Sweden,Christer,se,,Accepted,Low,PROD412,2012-03-23 13:53:11+00:00,In Progress,1-390722958
Org line G4,Sweden,Christer,se,,Completed,Low,PROD412,2012-03-23 13:54:08+00:00,Closed,1-390722958
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-04 16:58:37+00:00,In Progress,1-392812598
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-04 16:59:08+00:00,Closed,1-392812598
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-31 09:01:21+00:00,In Progress,1-397446945
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-31 09:02:46+00:00,Closed,1-397446945
Org line G4,Sweden,Ing-Marie,se,,Queued,Medium,PROD821,2010-09-06 12:04:31+00:00,Awaiting Assignment,1-399013423
Org line G4,Sweden,David,se,,Accepted,Medium,PROD368,2010-09-07 15:19:41+00:00,In Progress,1-399628501
Org line G4,Sweden,David,se,,Accepted,Medium,PROD368,2010-12-02 11:45:01+00:00,Assigned,1-399628501
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2010-09-16 16:39:32+00:00,In Progress,1-402328919
Org line A2,Sweden,Tomas,cn,A2_2,Completed,Low,PROD753,2012-05-29 10:32:02+00:00,Closed,1-402328919
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-31 09:54:38+00:00,In Progress,1-403006315
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-31 09:59:04+00:00,Closed,1-403006315
Org line G4,Sweden,Per,se,,Accepted,Low,PROD304,2010-09-23 16:32:09+00:00,In Progress,1-404005175
Org line G4,Sweden,Per,se,,Accepted,Low,PROD304,2010-12-05 13:28:02+00:00,Wait,1-404005175
Org line G4,Sweden,Per,se,,Completed,Low,PROD304,2012-01-26 12:06:11+00:00,Closed,1-404005175
Org line G4,Sweden,Per,se,,Accepted,Low,PROD374,2010-09-23 19:58:12+00:00,In Progress,1-404084309
Org line G4,Sweden,Per,se,,Accepted,Low,PROD374,2011-01-14 14:54:47+00:00,Wait,1-404084309
Org line G4,Sweden,Per,se,,Accepted,Low,PROD374,2012-02-29 15:32:37+00:00,Wait,1-404084309
Org line G4,Sweden,Per,se,,Completed,Low,PROD374,2012-02-29 15:32:38+00:00,Closed,1-404084309
Org line B,France,Nicolas,in,E_10,Accepted,Medium,PROD424,2010-09-29 09:53:12+00:00,In Progress,1-404736991
Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2010-11-16 11:09:29+00:00,In Progress,1-404736991
Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2010-11-16 11:22:09+00:00,In Progress,1-404736991
Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2010-11-19 17:26:11+00:00,Wait,1-404736991
Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2011-06-30 10:22:26+00:00,In Progress,1-404736991
Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2011-07-01 17:08:45+00:00,Wait,1-404736991
Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2012-02-29 18:04:06+00:00,In Progress,1-404736991
Org line B,INDIA,Rijin,in,E_10,Completed,Medium,PROD424,2012-02-29 18:07:28+00:00,Closed,1-404736991
Org line C,Sweden,Kenneth,se,C_6,Accepted,Medium,PROD660,2011-06-17 11:16:19+00:00,In Progress,1-406066421
Org line C,Sweden,Kenneth,se,C_6,Completed,Medium,PROD660,2012-01-04 12:33:27+00:00,Closed,1-406066421
Org line G4,Sweden,Ing-Marie,se,,Accepted,Medium,PROD821,2010-10-08 17:16:15+00:00,In Progress,1-407876996
Org line G4,Sweden,Ing-Marie,se,,Queued,Medium,PROD821,2010-10-08 17:19:28+00:00,Awaiting Assignment,1-407876996
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 10:50:38+00:00,In Progress,1-408853759
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:53:53+00:00,Closed,1-408853759
Org line A2,USA,Fredrik,us,A2_4,Accepted,Low,PROD546,2010-10-25 13:53:47+00:00,In Progress,1-413205820
Org line A2,USA,Fredrik,us,A2_4,Accepted,Low,PROD546,2011-10-05 23:07:51+00:00,In Progress,1-413205820
Org line A2,USA,Fredrik,us,A2_4,Queued,Low,PROD546,2011-10-05 23:07:59+00:00,Awaiting Assignment,1-413205820
Org line A2,USA,Fredrik,us,A2_4,Accepted,Low,PROD546,2011-10-06 20:05:33+00:00,In Progress,1-413205820
Org line A2,USA,Joakim,us,A2_4,Accepted,Low,PROD546,2011-12-06 21:31:33+00:00,Assigned,1-413205820
Org line A2,USA,Joakim,us,A2_4,Completed,Low,PROD546,2012-01-04 13:52:57+00:00,Closed,1-413205820
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2010-10-26 09:14:34+00:00,In Progress,1-413665008
Org line A2,Sweden,Tomas,cn,A2_2,Completed,High,PROD753,2012-05-29 10:24:46+00:00,Closed,1-413665008
Org line C,Sweden,Jonas,se,C_6,Accepted,Medium,PROD660,2010-11-01 08:37:07+00:00,In Progress,1-415000020
Org line C,Sweden,Anna,se,E_7,Queued,Medium,PROD660,2010-11-01 11:00:46+00:00,Awaiting Assignment,1-415000020
Org line C,Sweden,Anna,se,E_7,Accepted,Medium,PROD660,2011-09-08 11:19:39+00:00,In Progress,1-415000020
Org line C,Sweden,Anna,se,E_7,Accepted,Medium,PROD660,2011-09-08 11:19:45+00:00,Wait,1-415000020
Org line C,Sweden,Anna,se,E_7,Accepted,Medium,PROD660,2012-02-01 14:00:34+00:00,In Progress,1-415000020
Org line C,Sweden,Anna,se,E_7,Completed,Medium,PROD660,2012-02-01 14:00:54+00:00,Closed,1-415000020
Org line G4,Sweden,Viktoria,se,,Accepted,Medium,PROD412,2010-11-03 08:04:02+00:00,In Progress,1-415822336
Org line G4,Sweden,Viktoria,se,,Accepted,Medium,PROD412,2010-11-03 09:52:09+00:00,Wait,1-415822336
Org line G4,Sweden,Viktoria,se,,Queued,Medium,PROD412,2010-11-24 13:41:08+00:00,Awaiting Assignment,1-415822336
Org line G4,Sweden,Viktoria,se,,Queued,Medium,PROD412,2010-11-24 14:08:53+00:00,Awaiting Assignment,1-415822336
Org line G4,Sweden,Viktoria,se,,Queued,Medium,PROD412,2010-11-25 14:37:13+00:00,Awaiting Assignment,1-415822336
Org line G4,Sweden,Viktoria,se,,Accepted,Medium,PROD412,2010-11-25 14:38:42+00:00,In Progress,1-415822336
Org line G4,Sweden,Viktoria,se,,Accepted,Medium,PROD412,2010-11-25 14:40:20+00:00,Wait,1-415822336
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-30 13:05:37+00:00,In Progress,1-417868043
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 13:06:01+00:00,Closed,1-417868043
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 12:31:11+00:00,In Progress,1-418122119
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 12:32:21+00:00,Closed,1-418122119
Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 12:32:39+00:00,In Progress,1-419236954
Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 12:36:16+00:00,Closed,1-419236954
Org line G4,Sweden,Viktoria,se,,Accepted,Medium,PROD412,2010-11-19 18:20:40+00:00,In Progress,1-422418092
Org line G4,Sweden,Viktoria,se,,Queued,Medium,PROD412,2010-11-19 18:25:24+00:00,Awaiting Assignment,1-422418092
